Time,USS_FLS,USS_FL,USS_FLM,USS_FRM,USS_FR,USS_FRS,USS_RRS,USS_RR,USS_RRM,USS_RLM,USS_RL,USS_RLS
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
s,m,m,m,m,m,m,m,m,m,m,m,m
27.701,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.711,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.721,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.731,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.741,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.751,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.761,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.771,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.781,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.791,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.801,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.811,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.821,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.831,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.841,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.851,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.861,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.871,4.743131161,2.5,2.5,2.5,2.5,0.949667752,2.5,2.5,2.5,2.5,2.5,2.5
27.881,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.891,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.901,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.911,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.921,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.931,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.941,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.951,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.961,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.971,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.981,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
27.991,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.001,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.011,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.021,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.031,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.041,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.051,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.061,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.071,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.081,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.091,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.101,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.111,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.121,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.131,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.141,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.151,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.161,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.171,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.181,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.191,4.760296345,2.5,2.5,2.5,2.5,1.001162767,2.5,2.5,2.5,2.5,2.5,2.5
28.201,5,2.5,2.5,2.5,2.5,1.035491943,2.5,2.5,2.5,2.5,2.5,2.5
28.211,5,2.5,2.5,2.5,2.5,1.035491943,2.5,2.5,2.5,2.5,2.5,2.5
28.221,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.231,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.241,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.251,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.261,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.271,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.281,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.291,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.301,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.311,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.321,5,2.5,2.5,2.5,2.5,1.035491943,2.5,2.5,2.5,2.5,2.5,2.5
28.331,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.341,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.351,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.361,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.371,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.381,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.391,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.401,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.411,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.421,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.431,5,2.5,2.5,2.5,2.5,1.035491943,2.5,2.5,2.5,2.5,2.5,2.5
28.441,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.451,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.461,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.471,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.481,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.491,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.501,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.511,5,2.5,2.5,2.5,2.5,1.035492659,2.5,2.5,2.5,2.5,2.5,2.5
28.521,5,2.5,2.5,2.5,2.5,5,2.5,2.5,2.5,2.5,2.5,2.5
28.531,5,2.5,2.5,2.5,2.5,5,2.5,2.5,2.5,2.5,2.5,2.5
28.541,5,2.5,2.5,2.5,2.5,5,2.5,2.5,2.5,2.5,2.5,2.5
28.551,5,2.5,2.5,2.5,2.5,5,2.5,2.5,2.5,2.5,2.5,2.5
